business_name;service_name;description;duration_minutes;price;currency;category;is_active
Barbería Clásica Carlos;Afeitado Navaja;Afeitado tradicional con navaja;20;150.00;MXN;Afeitado;true
Barbería Clásica Carlos;Corte + Barba;Paquete corte y arreglo de barba;45;280.00;MXN;Paquetes;true
Barbería Clásica Carlos;Corte Tradicional;Corte de cabello clásico para caballero;30;180.00;MXN;Cortes;true
Clínica Dental Luis;Blanqueamiento;Blanqueamiento dental profesional;90;2500.00;MXN;Estética;true
Clínica Dental Luis;Consulta Odontológica;Revisión dental general;30;400.00;MXN;Consultas;true
Clínica Dental Luis;Limpieza Dental;Profilaxis y limpieza dental;45;600.00;MXN;Limpieza;true
Consultorio Médico Ana;Chequeo Preventivo;Examen médico preventivo completo;60;800.00;MXN;Prevención;true
Consultorio Médico Ana;Consulta General;Consulta médica general;30;500.00;MXN;Consultas;true
Estética Sofía Beauty;Depilación Láser;Sesión de depilación láser;30;750.00;MXN;Depilación;true
Estética Sofía Beauty;Facial Anti-edad;Tratamiento facial antienvejecimiento;60;900.00;MXN;Faciales;true
Estudio Fotográfico Fernando;Sesión de Retratos;Sesión fotográfica de retratos;60;1200.00;MXN;Fotografía;true
Estudio Fotográfico Fernando;Sesión Familiar;Sesión fotográfica familiar;90;1800.00;MXN;Fotografía;true
Gimnasio Valeria Fit;Clase Grupal Yoga;Clase de yoga en grupo;45;200.00;MXN;Clases;true
Gimnasio Valeria Fit;Entrenamiento Personal;Sesión de entrenamiento personalizado;60;450.00;MXN;Entrenamiento;true
Salón Camila Style;Corte y Peinado;Corte y peinado profesional;45;400.00;MXN;Cortes;true
Salón Camila Style;Tinte Completo;Coloración completa del cabello;120;800.00;MXN;Coloración;true
Spa Relax María;Facial Hidratante;Tratamiento facial con hidratación profunda;45;650.00;MXN;Faciales;true
Spa Relax María;Manicure Completo;Cuidado completo de uñas de manos;30;350.00;MXN;Uñas;true
Spa Relax María;Masaje Relajante;Masaje completo de relajación muscular;60;800.00;MXN;Masajes;true
Taller Mecánico Ricardo;Cambio de Aceite;Cambio de aceite y filtros;30;350.00;MXN;Mantenimiento;true
Taller Mecánico Ricardo;Revisión General;Diagnóstico completo del vehículo;60;500.00;MXN;Diagnóstico;true
Veterinaria Diego;Baño y Corte;Baño completo y corte de pelo;45;300.00;MXN;Estética;true
Veterinaria Diego;Consulta Veterinaria;Consulta médica veterinaria;30;350.00;MXN;Consultas;true
Veterinaria Diego;Vacunación;Aplicación de vacunas;15;200.00;MXN;Prevención;true
